time(100ns)   time_stamp(ms)    frame eye_valid_L   eye_valid_R   openness_L    openness_R    pupil_diameter_L(mm)  pupil_diameter_R(mm)  pos_sensor_L.x    pos_sensor_L.y    pos_sensor_R.x    pos_sensor_R.y    gaze_origin_L.x(mm)   gaze_origin_L.y(mm)   gaze_origin_L.z(mm)   gaze_origin_R.x(mm)   gaze_origin_R.y(mm)   gaze_origin_R.z(mm)   gaze_direct_L.x   gaze_direct_L.y   gaze_direct_L.z   gaze_direct_R.x   gaze_direct_R.y   gaze_direct_R.z   gaze_sensitive    frown_L   frown_R   squeeze_L squeeze_R wide_L    wide_R    distance_valid_C  distance_C(mm)    track_imp_cnt
638227775137348619  1186505   26600    31  31  1   1   3.889725 4.06488 0.4509767   0.5631442   0.4639499   0.5181193   34.52466  2.191772  -32.00047  -30.68547  3.377411  -32.27885  0.04338074  -0.04676819  0.9979553  0.06877136  -0.02929688  0.9971924  1   0  0  0    0    0.3291892   0.3291892   False 0   0
638227775137574313  1186539   26604    31  31  1   1   3.865341 4.10321 0.4523334   0.5627924   0.4653292   0.5183672   34.50468  2.181198  -31.95131  -30.72118  3.305786  -32.03082  0.03874207  -0.04508972  0.99823  0.06852722  -0.02973938  0.9971924  1   0  0  0    0    0.3368873   0.3368873   False 0   0
638227775137799371  1186547   26605    31  31  1   1   3.892517 4.241608 0.4551541   0.5630805   0.4691668   0.5187435   34.4756  2.262863  -32.12411  -30.79004  3.267853  -31.70094  0.02520752  -0.05567932  0.9981232  0.05950928  -0.04460144  0.9972229  1   0  0  0    0    0.3375043   0.3375043   False 0   0
638227775137939002  1186572   26608    31  31  1   1   3.887482 4.12764 0.4577006   0.5630236   0.4709611   0.5178139   34.41046  2.14299  -31.74026  -30.83261  3.317871  -31.85107  0.02348328  -0.0514679  0.9983978  0.05648804  -0.04096985  0.9975586  1   0  0  0    0    0.3370219   0.3370219   False 0   0
638227775138283295  1186597   26611    31  31  1   1   3.924515 4.175552 0.4596705   0.5649911   0.4731353   0.5188332   34.38412  2.128845  -31.78958  -30.8741  3.232773  -31.70432  0.01527405  -0.05839539  0.9981689  0.05177307  -0.03663635  0.9979858  1   0  0  0    0    0.3351725   0.3351725   False 0   0
638227775138462824  1186605   26612    31  31  1   1   3.924515 4.175552 0.4596705   0.5649911   0.4731353   0.5188332   34.38412  2.128845  -31.78958  -30.8741  3.232773  -31.70432  0.01527405  -0.05839539  0.9981689  0.05177307  -0.03663635  0.9979858  1   0  0  0    0    0.3244009   0.3244009   False 0   0
638227775138612413  1186605   26612    31  31  1   1   3.950775 4.101685 0.446677   0.5616076   0.4612626   0.5175458   34.63567  2.251373  -32.1167  -30.60141  3.278229  -31.89708  0.04576111  -0.04248047  0.9980469  0.06773376  -0.02601624  0.9973602  1   0  0  0    0    0.3244009   0.3244009   False 0   0
638227775138816416  1186655   26618    31  31  1   1   3.789978 4.114212 0.4286804   0.5626269   0.4402162   0.5202386   34.93044  1.96283  -31.36932  -30.20433  3.488892  -32.65929  0.1034088  -0.03097534  0.9941406  0.1165161  -0.04554749  0.9921417  1   0  0  0    0    0.3139389   0.3139389   False 0   0
638227775139014124  1186663   26619    31  31  1   1   3.91272 4.15683 0.4221822   0.5664676   0.4318688   0.5212362   35.00627  1.812744  -31.00731  -30.11632  3.355881  -32.33911  0.1313629  -0.045578  0.9902802  0.1551056  -0.04016113  0.9870758  1   0  0  0    0    0.3153121   0.3153121   False 0   0
638227775139163195  1186680   26621    31  31  1   1   3.840759 4.178772 0.4250818   0.5677083   0.4369436   0.5235038   34.99748  1.959122  -31.70256  -30.19916  3.300171  -32.32545  0.1109619  -0.04336548  0.9928741  0.1400452  -0.0436554  0.9891815  1   0  0  0    0    0.3089442   0.3089442   False 0   0
638227775139353177  1186705   26624    31  31  1   1   3.903305 4.147537 0.4269789   0.5692424   0.4397059   0.5232865   34.97868  1.970718  -31.76715  -30.2299  3.308701  -32.40031  0.1012115  -0.05265808  0.993454  0.1276703  -0.03952026  0.9910278  1   0  0  0    0    0.314221   0.314221   False 0   0
638227775139573588  1186738   26628    31  31  1   1   3.749313 4.180038 0.4347467   0.5683917   0.4463579   0.5235532   34.85872  1.892471  -31.51019  -30.36469  3.196289  -31.99956  0.0763855  -0.0456543  0.9960175  0.115448  -0.04055786  0.9924774  1   0  0  0    0    0.3186851   0.3186851   False 0   0
638227775139801195  1186747   26629    31  31  1   1   3.794205 4.091415 0.4367567   0.5665213   0.4492896   0.5230166   34.81297  1.877396  -31.472  -30.38847  3.297363  -32.40398  0.0735321  -0.03007507  0.9968262  0.09884644  -0.0353241  0.9944611  1   0  0  0    0    0.3185092   0.3185092   False 0   0
638227775140010250  1186772   26632    31  31  1   1   3.788971 4.049042 0.4423521   0.5659063   0.4561047   0.5216568   34.7121  1.960693  -31.80066  -30.50694  3.31665  -32.4729  0.05830383  -0.022995  0.9980316  0.07955933  -0.02618408  0.9964752  1   0  0  0    0    0.2834003   0.2834003   False 0   0
638227775140159841  1186788   26634    31  31  1   1   3.761902 4.136536 0.4505086   0.5650575   0.4628251   0.5194233   34.58093  2.072372  -32.05074  -30.64288  3.18483  -31.84993  0.0324707  -0.02745056  0.9990845  0.06730652  -0.01916504  0.9975433  1   0  0  0    0    0.295541   0.295541   False 0   0
638227775140349889  1186805   26636    31  31  1   1   3.879486 4.139267 0.4528061   0.5648266   0.4645579   0.5187953   34.51224  1.958694  -31.63002  -30.67673  3.263092  -32.08908  0.03292847  -0.02516174  0.9991302  0.0629425  -0.01803589  0.9978485  1   0  0  0    0    0.289255   0.289255   False 0   0
638227775140492845  1186822   26638    31  31  1   1   3.925247 4.219681 0.4597366   0.5635228   0.4706025   0.5180045   34.35365  1.819595  -31.22989  -30.79298  3.219391  -31.96243  0.02284241  -0.006958008  0.9997101  0.04940796  -0.009399414  0.9987335  1   0  0  0    0    0.2882894   0.2882894   False 0   0
638227775140604140  1186830   26639    31  31  1   1   3.958481 4.125626 0.4642197   0.5622163   0.4746224   0.5151877   34.21465  1.590714  -30.41322  -30.85988  3.44397  -32.62619  0.02555847  0.004486084  0.999649  0.03599548  -0.00112915  0.9993439  1   0  0  0    0    0.2877713   0.2877713   False 0   0
